"State","N_Zones","Time_Zone","Notes"
"Guinea-Bissau","1","UTC","Time in Germany"
"Guyana","1","UTC-04:00","Time in Germany"
"Haiti","1","UTC-05:00","Time in Germany"
"Honduras","1","UTC-06:00","Time in Germany"
"Hong Kong","1","UTC+08:00 (HKT)","Time in Hong Kong"
"Hungary","1","UTC+01:00 (CET)","Time in Hungary"
"Iceland","1","UTC","Time in Hungary"
"India","1","UTC+05:30 (IST)","Time in India"
"Iran","1","UTC+03:30 (IRST)","Time in Iran"
"Iraq","1","UTC+03:00","Time in Iran"
"Ireland","1","UTC (WET)","Time in Ireland"
"Israel","1","UTC+02:00 (IST)","Time in Israel"
"Italy","1","UTC+01:00 (CET)","Time in Israel"
"Ivory Coast","1","UTC","Time in Israel"
"Jamaica","1","UTC-05:00","Time in Israel"
"Japan","1","UTC+09:00 (JST)","Time in Japan"
"Jordan","1","UTC+02:00","Time in Japan"
"Kenya","1","UTC+03:00 (EAT)","Time in Kenya"
"Korea, North","1","UTC+08:30 (Pyongyang Time)","Time in North Korea"
"Korea, South","1","UTC+09:00 (Korea Standard Time)","Time in South Korea"
"Kuwait","1","UTC+03:00 (Arabia Standard Time)","Time in South Korea"
"Kosovo","1","UTC+01:00","Time in South Korea"
"Kyrgyzstan","1","UTC+06:00","Time in Kyrgyzstan"
"Laos","1","UTC+07:00","Time in Kyrgyzstan"
"Latvia","1","UTC+02:00 (EET)","Time in Kyrgyzstan"
"Lebanon","1","UTC+02:00 (EET)","Time in Kyrgyzstan"
"Lesotho","1","UTC+02:00","Time in Kyrgyzstan"
"Liberia","1","UTC","Time in Kyrgyzstan"
"Libya","1","UTC+02:00 (EET)","Time in Kyrgyzstan"
"Liechtenstein","1","UTC+01:00 (CET)","Time in Kyrgyzstan"
"Lithuania","1","UTC+02:00 (EET)","Time in Kyrgyzstan"
"Luxembourg","1","UTC+01:00 (CET)","Time in Kyrgyzstan"
"Macau (China)","1","UTC+08:00 (Macau Standard Time)","Time in Macau"
"Macedonia","1","UTC+01:00 (CET)","Time in Macau"
"Madagascar","1","UTC+03:00 (EAT)","Time in Macau"
"Malawi","1","UTC+02:00 (CAT)","Time in Macau"
"Malaysia","1","UTC+08:00 (Malaysian Standard Time)","Time in Malaysia"
"Maldives","1","UTC+05:00","Time in Malaysia"
"Mali","1","UTC","Time in Malaysia"
"Malta","1","UTC+01:00 (CET)","Time in Malta"
"Marshall Islands","1","UTC+12:00","Time in Malta"
"Mauritania","1","UTC","Time in Malta"
"Mauritius","1","UTC+04:00 (Mauritius Time)","Time in Malta"
"Moldova","1","UTC+02:00 (EET)","Time in Malta"
"Monaco","1","UTC+01:00 (CET)","Time in Malta"
"Montenegro","1","UTC+01:00 (CET)","Time in Malta"
"Morocco","1","UTC (WET)","Time in Malta"
"Mozambique","1","UTC+02:00 (CAT)","Time in Malta"
"Myanmar","1","UTC+06:30 (MST)","Time in Myanmar"
"Namibia","1","UTC+01:00 (WAT)","Time in Myanmar"
"Nauru","1","UTC+12:00","Time in Myanmar"
"Nepal","1","UTC+05:45 (Nepal Time)","Time in Nepal"
"Nicaragua","1","UTC-06:00","Time in Nepal"
"Niger","1","UTC+01:00 (WAT)","Time in Nepal"
"Nigeria","1","UTC+01:00 (WAT)","Time in Nepal"
"Norway","1","UTC+01:00 (CET)","Time in Norway"
"Oman","1","UTC+04:00","Time in Norway"
"Pakistan","1","UTC+05:00 (PKT)","Time in Pakistan"
"Palau","1","UTC+09:00","Time in Pakistan"
"Panama","1","UTC-05:00","Time in Pakistan"
"Paraguay","1","UTC-04:00","Time in Pakistan"
"Peru","1","UTC-05:00 (PET)","Time in Peru"
"Philippines","1","UTC+08:00 (PHT)","Time in the Philippines"
"Poland","1","UTC+01:00 (CET)","Time in the Philippines"
"Qatar","1","UTC+03:00 (Arabia Standard Time)","Time in the Philippines"
"Romania","1","UTC+02:00 (EET)","Time in the Philippines"
"Rwanda","1","UTC+02:00 (CAT)","Time in the Philippines"
"Saint Kitts and Nevis","1","UTC-04:00","Time in the Philippines"
"Saint Lucia","1","UTC-04:00","Time in the Philippines"
"Saint Vincent and the Grenadines","1","UTC-04:00","Time in the Philippines"
"Samoa","1","UTC+13:00","Time in Samoa"
"San Marino","1","UTC+01:00 (CET)","Time in Samoa"
"São Tomé and Príncipe","1","UTC","Time in Samoa"
"Saudi Arabia","1","UTC+03:00 (Arabia Standard Time)","Time in Saudi Arabia"
"Senegal","1","UTC","Time in Saudi Arabia"
"Serbia","1","UTC+01:00 (CET)","Time in Saudi Arabia"
"Seychelles","1","UTC+04:00 (Seychelles Time)","Time in Saudi Arabia"
"Sierra Leone","1","UTC","Time in Saudi Arabia"
"Singapore","1","UTC+08:00 (SST)","Time in Singapore"
"Slovakia","1","UTC+01:00 (CET)","Time in Singapore"
"Slovenia","1","UTC+01:00 (CET)","Time in Singapore"
"Solomon Islands","1","UTC+11:00","Time in Singapore"
"Somalia","1","UTC+03:00 (EAT)","Time in Singapore"
"South Sudan","1","UTC+03:00 (EAT)","Time in Singapore"
"Sri Lanka","1","UTC+05:30 (SLST)","Time in Sri Lanka"
"Sudan","1","UTC+03:00 (EAT)","Time in Sri Lanka"
"Suriname","1","UTC-03:00","Time in Sri Lanka"
"Swaziland","1","UTC+02:00","Time in Sri Lanka"
"Sweden","1","UTC+01:00 (CET)","Time in Sri Lanka"
"Switzerland","1","UTC+01:00 (CET)","Time in Switzerland"
"Syria","1","UTC+02:00 (EET)","Time in Syria"
"Taiwan","1","UTC+08:00","Time in Taiwan"
"Tajikistan","1","UTC+05:00","Time in Taiwan"
"Tanzania","1","UTC+03:00 (EAT)","Time in Taiwan"
"Thailand","1","UTC+07:00 (THA)","Time in Thailand"
"Togo","1","UTC","Time in Thailand"
"Tonga","1","UTC+13:00","Time in Thailand"
"Trinidad and Tobago","1","UTC-04:00","Time in Thailand"
"Tunisia","1","UTC+01:00 (CET)","Time in Thailand"
"Turkey","1","UTC+03:00 (TRT)","Time in Thailand"
"Turkmenistan","1","UTC+05:00","Time in Thailand"
"Tuvalu","1","UTC+12:00","Time in Thailand"
"Uganda","1","UTC+03:00 (EAT)","Time in Thailand"
"Ukraine","1","UTC+02:00[1] (EET)","Time in Ukraine"
"United Arab Emirates","1","UTC+04:00","Time in the United Arab Emirates"
"Uruguay","1","UTC-03:00","Time in Uruguay"
"Uzbekistan","1","UTC+05:00 (Uzbekistan Time)","Time in Uzbekistan"
"Vanuatu","1","UTC+11:00","Time in Uzbekistan"
"Vatican City","1","UTC+01:00 (CET)","Time in Uzbekistan"
"Venezuela","1","UTC-04:00","Time in Venezuela"
"Vietnam","1","UTC+07:00 (Indochina Time)","Time in Vietnam"
"Yemen","1","UTC+03:00","Time in Vietnam"
"Zambia","1","UTC+02:00 (CAT)","Time in Vietnam"
"Zimbabwe","1","UTC+02:00 (CAT)","Time in Vietnam"
